labels,sentence,kor_sentence
neutral,"According to Gran, the company has no plans to move all production to Russia, although that is where the company is growing.","Gran에 따르면, 그 회사는 회사가 성장하고 있는 곳이지만, 모든 생산을 러시아로 옮길 계획이 없다고 한다."
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications, the statement said.",테크노폴리스는 컴퓨터 기술과 통신 분야에서 일하는 회사들을 유치하기 위해 10만 평방미터 이상의 면적을 단계적으로 개발할 계획이라고 성명은 밝혔다.
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers, the daily Postimees reported.","국제 전자산업 회사인 엘코텍은 탈린 공장에서 수십 명의 직원을 해고했으며, 이전의 해고와는 달리 회사는 사무직 직원 수를 줄였다고 일간 포스티메스가 보도했다."
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability.,새로운 생산공장으로 인해 회사는 예상되는 수요 증가를 충족시킬 수 있는 능력을 증가시키고 원자재 사용을 개선하여 생산 수익성을 높일 것이다.
positive,"According to the company's updated strategy for the years 2009-2012, Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales.","2009-2012년 회사의 업데이트된 전략에 따르면, Basware는 20% - 40% 범위의 장기적인 순매출 성장을 목표로 하고 있으며, 영업이익률은 순매출액의 10% - 20%를 목표로 하고 있습니다."
positive,FINANCING OF ASPOCOMP'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs.,ASPOCOMP의 성장기에 대한 자금 조달은 기술적으로 더 까다로운 HDI 인쇄 회로 기판 PCB에 점점 더 초점을 맞추면서 성장 전략을 공격적으로 추진하고 있다.
positive,"For the last quarter of 2010, Componenta's net sales doubled to EUR131m from EUR76m for the same period a year earlier, while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m.","2010년 4분기 Componenta의 순매출은 전년 동기의 7600만 유로에서 2배인 13100만 유로로 증가했으며, 세전 손실 7백만 유로에서 세전 수익 0으로 전환되었다."
positive,"In the third quarter of 2010, net sales increased by 5.2 % to EUR 205.5 mn, and operating profit by 34.9 % to EUR 23.5 mn.","2010년 3분기 순매출은 5.2%, 영업이익은 34.9% 증가한 23.5MN을 기록했다."
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales.,영업이익은 2007년 해당 기간의 8.7 mn에서 13.1 mn으로 증가하여 순매출액의 7.7%를 차지했다.
positive,"Operating profit totalled EUR 21.1 mn, up from EUR 18.6 mn in 2007, representing 9.7 % of net sales.",영업이익은 총 21.1 유로로 2007년 18.6 mn에서 증가하여 순매출의 9.7%를 차지했다.
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom's offering to its customers.,텔리아소네라 TLSN은 이번 제안이 핵심 사업 보유에 대한 지분을 늘리기 위한 전략과 부합하며 에스티텔레콤의 고객 제안을 강화할 것이라고 밝혔다.
positive,"STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups.","STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE Credit Suisse First Boston(CFSB)은 북유럽 삼림 그룹 중 4곳의 주식에 대한 공정가치를 상향 조정했다."
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal, Finland, was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month.","핀란드 하미나 터미널에서 인도하는 휘발유 7,200t에 대한 구매협약이 올 9월 플랫츠 평균지수에서 네스테오일 OYJ와 월 8달러(약 8만 원)로 체결됐다."
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004, and net sales totaled EUR 103.3 mn, up from EUR 96.4 mn.","핀란드 탈렌툼은 영업이익이 2004년 9.3 mn에서 2005년 20.5 mn으로 증가했으며, 순매출액은 96.4 mn에서 103.3 mn으로 증가했다고 발표했다."
positive,"Clothing retail chain Sepp+Æl+Æ's sales increased by 8 % to EUR 155.2 mn, and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004.","의류 소매 체인 셉+엘+엘+엘은 매출이 8% 증가한 155.2만 유로, 영업이익은 2004년 17.1만 유로에서 31.1만 유로로 증가했다."
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m, while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period.","연결 순매출액은 16% 증가하여 74.8백만 유로에 달했고, 영업이익은 전년도의 0.7백만 유로에 비해 0.9백만 유로에 달했다."
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006, and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006.","주조 공장 부문은 매출이 2006년 해당 기간의 57.5 mn에서 63.1 mn으로 9.7% 증가했으며, 기계 공장 부문 매출은 2006년 해당 기간의 35.4 mn에서 41.2 mn으로 16.4% 증가했다고 보고했습니다."
positive,"HELSINKI ( AFX ) - Shares closed higher, led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets, and by Nokian Tyres after its fourth-quarter earnings report beat analysts' expectations, dealers said.","헬싱키 (AFX) &shy; 노키아가 산요와 손잡고 3G 단말기를 제조할 계획을 발표한 후, 노키안 타이어가 4분기 수익보고서를 발표한 후, 주가는 분석가들의 예상을 깨고 상승 마감했다고 딜러들은 말했다."
positive,"Incap Contract Manufacturing Services Pvt Ltd, a subsidiary of Incap Corporation of Finland, plans to double its revenues by 2007-2008.",핀란드 인셉트 코퍼레이션의 자회사인 인셉트 컨트랙트 제조 서비스 Pvt Ltd는 2007-2008년까지 수익을 두 배로 늘릴 계획이다.
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010, up from the EUR0 .08 per share paid in 2009.",이사회는 2009년 주당 0.08유로에서 2010년 주당 0.12유로의 배당금을 제안할 예정이다.
positive,"Lifetree was founded in 2000, and its revenues have risen on an average by 40 % with margins in late 30s.","라이프트리는 2000년에 설립되었으며, 30대 후반 마진과 함께 수익이 평균 40% 상승했습니다."
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum, Days of the Russian Economy, that opened in Helsinki today.",상트페테르부르크의 기술단지 건설에 대한 3국간 투자협정은 오늘 헬싱키에서 개막된 '러시아 경제의 날' 포럼 과정에서 체결될 예정이었다.
positive,"MegaFon's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31, while its market share by the number of customers amounted to 24 % as of late 2009, up from 23 % as of late 2008, according to TeliaSonera estimates.","텔리아소네라 추산에 따르면 메가폰의 가입자 기반은 2009년 16.1% 증가한 5,050만명으로, 고객 수 대비 시장점유율은 2009년 말 현재 24%로 2008년 말 23%보다 높아졌다."
